Date,Volume,vw,Open,Close,High,Low,n,Symbol,Return,Cumulative Return,10-Day MA,100-Day MA
2023-04-17,66321399.0,412.588,412.37,413.94,413.96,411.085,477976,SPY,0.0035882267371381005,0.08697022215219707,410.366,
2023-04-18,63550097.0,414.0737,415.58,414.21,415.72,412.7802,493080,SPY,0.0006522684447021199,0.08767921852843785,410.692,
2023-04-19,55227330.0,413.6631,412.22,414.14,415.08,412.16,420720,SPY,-0.00016899640279088857,0.08749540465311623,411.23900000000003,
2023-04-20,75840359.0,412.017,411.21,411.88,413.7,410.27,546274,SPY,-0.005457091804703662,0.08156084239273076,411.66700000000003,
2023-04-21,73107422.0,411.763,412.19,412.2,412.68,410.17,480944,SPY,0.0007769253180538449,0.08240113439420127,411.968,
2023-04-24,64324595.0,412.081,411.99,412.63,413.07,410.6,463294,SPY,0.0010431829209121002,0.08353027677117719,412.27,
2023-04-25,96743071.0,408.2879,410.58,406.08,411.16,406.02,611557,SPY,-0.015873785231321103,0.06633054986607756,411.90600000000006,
2023-04-26,80447049.0,405.5996,406.72,404.36,407.84,403.78,571685,SPY,-0.0042356185973206895,0.06181398035817365,411.537,
2023-04-27,92943619.0,410.1021,407.0,412.41,412.69,406.74,614868,SPY,0.019908002769809086,0.08295257602016615,411.43100000000004,
2023-04-28,89433137.0,414.401,411.49,415.93,415.94,411.43,613090,SPY,0.008535195557818565,0.09219578803634154,411.77799999999996,
2023-05-01,62012504.0,416.2071,415.47,415.51,417.62,415.265,502371,SPY,-0.0010097853004111812,0.09109290478441134,411.93500000000006,
2023-05-02,103880184.0,411.0741,414.77,410.84,414.82,407.82,750842,SPY,-0.011239200019253492,0.07882989338795099,411.59799999999996,
2023-05-03,91531769.0,410.589,411.36,408.02,413.87,407.77,737915,SPY,-0.006863985979943532,0.07142482012499207,410.986,
2023-05-04,94831863.0,405.4896,406.93,405.13,407.27,403.74,716762,SPY,-0.007082986128130964,0.06383593298671153,410.311,
2023-05-05,87627791.0,411.2338,408.91,412.63,413.72,408.64,579189,SPY,0.01851257621010549,0.08353027677117675,410.354,
2023-05-08,50046768.0,412.5119,412.97,412.74,413.24,411.28,422762,SPY,0.0002665826527397108,0.08381912714668216,410.36499999999995,
2023-05-09,49215359.0,411.3562,411.13,410.93,412.09,410.6894,385993,SPY,-0.004385327324708088,0.07906622551336451,410.85,
2023-05-10,96142922.0,411.9647,413.88,412.85,414.535,408.87,691578,SPY,0.00467232862044642,0.0841079775221878,411.69899999999996,
2023-05-11,70147264.0,411.5263,411.95,412.13,412.43,409.97,530525,SPY,-0.001743974809252813,0.08221732051887898,411.671,
2023-05-12,70481548.0,411.1564,413.42,411.59,413.64,409.07,501017,SPY,-0.0013102661781476677,0.08079932776639742,411.23699999999997,
2023-05-15,54289383.0,412.1201,412.22,413.01,413.43,410.23,427865,SPY,0.0034500352292330394,0.08452812352292294,410.98699999999997,
2023-05-16,57705495.0,411.3774,411.86,410.25,412.815,410.24,447536,SPY,-0.00668264690927578,0.07728060501023992,410.928,
2023-05-17,86786957.0,413.4302,412.35,415.23,415.855,410.635,585038,SPY,0.01213893967093238,0.09035764928312484,411.649,
2023-05-18,97177195.0,417.1828,414.9,419.23,419.67,414.67,672492,SPY,0.009633215326445566,0.10086129930150611,413.059,
2023-05-19,103793317.0,419.0232,420.17,418.62,420.72,417.35,642871,SPY,-0.0014550485413734604,0.09925949267370293,413.658,
2023-05-22,60717899.0,419.037,418.64,418.79,420.39,417.35,493531,SPY,0.00040609622091647424,0.09970589779948424,414.26300000000003,
2023-05-23,86383493.0,415.8938,417.08,414.09,418.722,413.68,624936,SPY,-0.011222808567539877,0.08736410902788605,414.579,
2023-05-24,89201678.0,411.2268,412.42,411.09,412.82,409.8795,673413,SPY,-0.007244801854669247,0.0794863715141001,414.40299999999996,
2023-05-25,90961606.0,413.9115,414.74,414.65,416.16,412.4101,672404,SPY,0.008659904157240605,0.08883462003045972,414.65500000000003,
2023-05-26,93829975.0,418.9092,415.33,420.02,420.77,415.25,627251,SPY,0.012950681297479782,0.10293577018013678,415.49799999999993,
2023-05-30,72207960.0,420.4468,422.03,420.18,422.58,418.735,609041,SPY,0.0003809342412266492,0.10335591618087214,416.21500000000003,
2023-05-31,110782530.0,418.0147,418.28,417.85,419.22,416.22,665147,SPY,-0.0055452425151125695,0.09723754004516505,416.975,
2023-06-01,88758018.0,420.466,418.09,421.82,422.92,416.79,653406,SPY,0.009501017111403609,0.10766241268840848,417.634,405.19269999999995
2023-06-02,91426171.0,426.8396,424.5,427.92,428.74,423.95,678309,SPY,0.014461144564032136,0.12368047896644008,418.503,405.6637
2023-06-05,70168016.0,427.9902,428.28,427.1,429.67,426.37,551795,SPY,-0.0019162460272947879,0.12152723071267202,419.351,406.0971
2023-06-06,63706675.0,427.5845,426.67,428.03,428.5772,425.99,491099,SPY,0.00217747600093654,0.12396932934194571,420.275,406.5836
2023-06-07,85344025.0,427.3391,428.44,426.55,429.62,426.11,582566,SPY,-0.0034577015629744245,0.12008297883514474,421.521,406.9683
2023-06-08,61952842.0,428.2953,426.62,429.13,429.6,425.82,473941,SPY,0.006048528894619487,0.1268578330970005,423.325,407.381
